Prefill,Decode,Conc,Num Prompts,Successful Requests,Run Status,Benchmark Duration (s),Total Input Tokens,Total Output Tokens,Req/s,Output tok/s,Peak Output tok/s,Total tok/s,Mean TTFT (ms),Median TTFT (ms),P99 TTFT (ms),Mean TPOT (ms),Median TPOT (ms),P99 TPOT (ms),Mean ITL (ms),Median ITL (ms),P99 ITL (ms)
1024,1024,64,256,256.0,SUCCESS,374.67,262144.0,262144.0,0.68,699.66,896.0,1399.32,9021.42,9941.97,14037.3,82.71,84.04,88.82,82.71,79.19,85.76
1024,1024,64,256,256.0,SUCCESS,366.28,262144.0,262144.0,0.7,715.7,896.0,1431.4,7878.56,5950.67,10880.41,81.79,82.16,87.49,81.79,78.52,85.31
1024,1024,64,256,256.0,SUCCESS,374.16,262144.0,262144.0,0.68,700.63,896.0,1401.25,8097.68,5983.9,10809.38,83.47,84.88,89.78,83.47,80.6,87.11
1024,1024,64,256,256.0,SUCCESS,373.58,262144.0,262144.0,0.69,701.72,896.0,1403.43,8025.37,5839.5,10769.0,83.43,85.06,89.96,83.43,80.62,86.87
4096,1024,64,256,256.0,SUCCESS,653.33,1048576.0,262144.0,0.39,401.24,832.0,2006.21,24395.45,22097.85,62798.57,131.53,125.7,159.76,131.53,83.26,91.29
4096,1024,64,256,256.0,SUCCESS,598.68,1048576.0,262144.0,0.43,437.87,832.0,2189.36,22312.18,21147.99,44594.51,122.55,125.25,146.98,122.55,83.25,91.95
4096,1024,64,256,256.0,SUCCESS,528.96,1048576.0,262144.0,0.48,495.58,832.0,2477.9,18434.25,16573.56,44591.39,111.19,111.27,135.35,111.19,82.42,91.2
4096,1024,64,256,256.0,SUCCESS,558.34,1048576.0,262144.0,0.46,469.5,832.0,2347.51,18672.24,16599.27,44613.61,116.17,113.27,130.73,116.17,83.08,92.58
16384,1024,64,256,195.0,FAILED,946.72,3194880.0,190467.0,0.21,201.19,832.0,3575.86,53837.47,23860.77,204449.26,662.54,271.39,6241.3,250.47,85.57,5966.83
16384,1024,64,256,0.0,FAILED,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16384,1024,64,256,0.0,FAILED,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16384,1024,64,256,0.0,FAILED,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
