Prefill,Decode,Conc,Num Prompts,Benchmark Duration (s),Total Input Tokens,Total Output Tokens,Req/s,Output tok/s,Peak Output tok/s,Total tok/s,Mean TTFT (ms),Median TTFT (ms),P99 TTFT (ms),Mean TPOT (ms),Median TPOT (ms),P99 TPOT (ms),Mean ITL (ms),Median ITL (ms),P99 ITL (ms)
1024,1024,64,256,371.34,262144.0,262144.0,0.69,706.02,896.0,1412.03,8000.54,5924.69,10819.6,82.9,84.03,89.08,82.9,79.91,86.43
4096,1024,64,256,561.99,1048576.0,262144.0,0.46,467.65,832.0,2338.26,19806.22,18106.94,44599.84,116.64,116.6,137.69,116.64,82.92,91.91
