Prefill,Decode,Conc,Num Prompts,Successful Requests,Run Status,Benchmark Duration (s),Total Input Tokens,Total Output Tokens,Req/s,Output tok/s,Peak Output tok/s,Total tok/s,Mean TTFT (ms),Median TTFT (ms),P99 TTFT (ms),Mean TPOT (ms),Median TPOT (ms),P99 TPOT (ms),Mean ITL (ms),Median ITL (ms),P99 ITL (ms)
1024,1024,64,256,256.0,SUCCESS,201.51,262144.0,262144.0,1.27,1300.88,1600.0,2601.76,5306.21,4412.9,7533.35,44.04,44.46,48.02,44.04,41.46,48.12
1024,1024,64,256,256.0,SUCCESS,200.94,262144.0,262144.0,1.27,1304.57,1600.0,2609.14,5290.56,4375.84,7490.08,43.91,44.65,48.21,43.91,41.44,48.19
1024,1024,64,256,256.0,SUCCESS,200.97,262144.0,262144.0,1.27,1304.42,1600.0,2608.83,5291.6,4391.35,7507.17,43.92,44.5,48.03,43.92,41.45,48.16
1024,1024,64,256,256.0,SUCCESS,202.52,262144.0,262144.0,1.26,1294.4,1600.0,2588.8,5435.88,4384.44,7500.0,44.16,45.09,48.44,44.16,41.89,48.38
4096,1024,64,256,256.0,SUCCESS,387.28,1048576.0,262144.0,0.66,676.89,1472.0,3384.46,17484.59,14052.38,40363.22,76.43,76.51,99.28,76.43,45.35,52.24
4096,1024,64,256,120.0,FAILED,426.78,491520.0,65747.0,0.28,154.05,1472.0,1305.76,21187.04,21290.44,35081.29,2241.87,82.7,9481.35,87.03,45.28,56.1
4096,1024,64,256,0.0,FAILED,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4096,1024,64,256,0.0,FAILED,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16384,1024,64,256,0.0,FAILED,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16384,1024,64,256,0.0,FAILED,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16384,1024,64,256,0.0,FAILED,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16384,1024,64,256,0.0,FAILED,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
