Prefill,Decode,Conc,Num Prompts,Successful Requests,Run Status,Benchmark Duration (s),Total Input Tokens,Total Output Tokens,Req/s,Output tok/s,Peak Output tok/s,Total tok/s,Mean TTFT (ms),Median TTFT (ms),P99 TTFT (ms),Mean TPOT (ms),Median TPOT (ms),P99 TPOT (ms),Mean ITL (ms),Median ITL (ms),P99 ITL (ms)
1024,1024,64,256,256.0,SUCCESS,159.95,262144.0,262144.0,1.6,1638.93,2012.0,3277.86,4180.79,3531.88,5992.11,34.98,35.51,38.21,34.98,33.07,40.11
1024,1024,64,256,256.0,SUCCESS,160.18,262144.0,262144.0,1.6,1636.51,1984.0,3273.02,4178.86,3501.79,5964.84,35.04,35.8,38.29,35.04,33.18,40.25
1024,1024,64,256,256.0,SUCCESS,160.42,262144.0,262144.0,1.6,1634.13,1984.0,3268.25,4192.7,3580.04,6040.79,35.09,35.91,38.41,35.09,33.22,40.31
1024,1024,64,256,256.0,SUCCESS,160.95,262144.0,262144.0,1.59,1628.7,1984.0,3257.41,4173.34,3503.67,5963.75,35.24,35.86,38.3,35.24,33.38,40.32
4096,1024,64,256,256.0,SUCCESS,343.35,1048576.0,262144.0,0.75,763.49,1792.0,3817.46,15469.26,12960.43,36720.54,66.8,67.01,90.72,66.8,37.62,45.12
4096,1024,64,256,256.0,SUCCESS,292.84,1048576.0,262144.0,0.87,895.18,1728.0,4475.92,12411.4,9721.15,29048.27,58.66,58.36,80.1,58.66,38.01,45.49
4096,1024,64,256,256.0,SUCCESS,258.05,1048576.0,262144.0,0.99,1015.88,1728.0,5079.42,10136.34,9708.85,25725.29,53.11,53.09,62.17,53.11,38.01,45.44
4096,1024,64,256,256.0,SUCCESS,258.65,1048576.0,262144.0,0.99,1013.51,1728.0,5067.56,10133.08,9705.82,25726.62,53.27,53.36,62.29,53.27,38.21,45.68
16384,1024,64,256,256.0,SUCCESS,706.78,4194304.0,262144.0,0.36,370.9,1728.0,6305.32,27384.58,14367.03,115055.72,142.11,145.2,157.46,142.11,38.15,3591.74
16384,1024,64,256,256.0,SUCCESS,664.54,4194304.0,262144.0,0.39,394.48,1728.0,6706.08,26390.53,14374.66,113181.25,131.11,134.72,150.26,131.11,37.98,3591.61
16384,1024,64,256,256.0,SUCCESS,627.92,4194304.0,262144.0,0.41,417.48,1728.0,7097.16,25991.65,14360.6,113154.51,127.64,138.75,148.96,127.64,37.96,3590.37
16384,1024,64,256,256.0,SUCCESS,618.82,4194304.0,262144.0,0.41,423.62,1728.0,7201.58,26253.56,14371.42,113156.7,125.13,135.08,148.55,125.13,38.05,3590.71
