Prefill,Decode,Conc,Num Prompts,Benchmark Duration (s),Total Input Tokens,Total Output Tokens,Req/s,Output tok/s,Peak Output tok/s,Total tok/s,Mean TTFT (ms),Median TTFT (ms),P99 TTFT (ms),Mean TPOT (ms),Median TPOT (ms),P99 TPOT (ms),Mean ITL (ms),Median ITL (ms),P99 ITL (ms)
1024,1024,64,256,160.52,262144.0,262144.0,1.6,1633.11,1984.0,3266.23,4181.63,3528.5,5989.79,35.12,35.86,38.33,35.12,33.26,40.29
4096,1024,64,256,269.85,1048576.0,262144.0,0.95,974.86,1728.0,4874.3,10893.61,9711.94,26833.39,55.01,54.94,68.19,55.01,38.08,45.54
16384,1024,64,256,637.09,4194304.0,262144.0,0.4,411.86,1728.0,7001.61,26211.91,14368.89,113164.15,127.96,136.18,149.26,127.96,38.0,3590.9
