-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                  _fwd_kernel_ep_gather         0.00%       0.000us         0.00%       0.000us       0.000us      97.491ms         0.89%      97.491ms      22.901us          4257  
                       _fwd_kernel_ep_scatter_2_optimal         0.00%       0.000us         0.00%       0.000us       0.000us      95.432ms         0.87%      95.432ms      22.418us          4257  
_ZN7cutlass6KernelIN9deep_gemm10GemmKernelIN3aiu4gem...         0.00%       0.000us         0.00%       0.000us       0.000us      90.727ms         0.83%      90.727ms     263.741us           344  
_fused_kv_compress_norm_rope_insert_sparse_attn_sm80...         0.00%       0.000us         0.00%       0.000us       0.000us      87.072ms         0.79%      87.072ms      21.452us          4059  
## Call CompiledFxGraph fltyp6uazo4ozy4txgyxhoulgjp5...         0.00%       0.000us         0.00%       0.000us       0.000us      86.940ms         0.79%      86.940ms      28.980ms             3  
                                            aten::copy_         4.59%     552.731ms         7.40%     890.208ms     111.877us      86.222ms         0.78%      87.839ms      11.039us          7957  
## Call CompiledFxGraph fq6cungnbec5ydztwgxral2nyw4j...         0.00%       0.000us         0.00%       0.000us       0.000us      81.612ms         0.74%      81.612ms      27.204ms             3  
_ZN7cutlass6KernelINS_4gemm6kernel23GemmWithEpilogue...         0.00%       0.000us         0.00%       0.000us       0.000us      75.164ms         0.68%      75.164ms       1.748ms            43  
                              vllm::fl_int8_o_proj_gemm         0.57%      68.989ms        23.02%        2.770s      21.469ms      74.340ms         0.68%     109.099ms     845.733us           129  
                               topk_single_stage_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      72.823ms         0.66%      72.823ms      17.107us          4257  
_ZN7cutlass6KernelINS_4gemm6kernel23GemmWithEpilogue...         0.00%       0.000us         0.00%       0.000us       0.000us      72.454ms         0.66%      72.454ms       1.685ms            43  
_ZN7cutlass6KernelINS_4gemm6kernel23GemmWithEpilogue...         0.00%       0.000us         0.00%       0.000us       0.000us      69.204ms         0.63%      69.204ms       8.561us          8084  
_ZN7cutlass6KernelINS_4gemm6kernel23GemmWithEpilogue...         0.00%       0.000us         0.00%       0.000us       0.000us      66.120ms         0.60%      66.120ms       3.149ms            21  
